,numClaims,numSales,dollarPerClaim,dollarPerSale,claimRatio,INVENTORY_STYLE_CD,INVENTORY_SIZE_CD,INVENTORY_BACKING_CD,INVENTORY_COLOR_CD,Claims,Pred,Score,Index
24317,0.17619006105746052,0.5397860153055399,-0.4505718569347905,-0.3150292496553072,-0.07902413477015764,2.2975824768519137,2.5066989401395494,0.9224496163355574,1.8579798567628176,1,0,0.5742518244553079,val
29645,-0.23382897440824527,-0.041758792844886934,-0.05969211040419922,-0.3490693816194973,-0.01803416723397752,-0.881132884344608,-0.4411195977155063,0.08033576420595212,0.5221077945162778,0,1,0.6079463043292203,val
24906,-0.23382897440824527,-0.041758792844886934,-0.22896270068652533,-0.3319672042954432,-0.06615786941233112,-0.7518500775302885,-0.4411195977155063,-0.9531675997712908,0.03588965421330927,0,1,0.6098332506977391,val
17343,2.2262852383859895,-0.041758792844886934,-0.32566941689325457,-0.23016497258194038,-0.06723050635608821,-0.4029917099360932,-0.4411195977155063,-0.9531675997712908,0.8020515722664717,1,1,0.986985804615585,val
23411,-0.23382897440824527,-0.6233036009953138,-0.43782474794120374,-0.33442560397743903,-0.07797742617154194,0.2926729172076259,-0.4411195977155063,-0.9531675997712908,0.11938165810371801,1,1,0.6068558254029195,val
30893,-0.23382897440824527,-0.041758792844886934,0.9447375909415153,-0.354591396531757,0.34588781600403057,0.4383725883793193,2.303401109942649,-0.11105374764168546,-2.8544070686987815,0,0,0.5947908821625388,val
16151,-0.23382897440824527,-0.041758792844886934,-0.17738726889742215,-0.34533969441978013,-0.04709495870349826,1.0704218661382146,-0.4411195977155063,1.994230882682328,-0.4552397804361539,0,0,0.5909760446271471,val
4335,-0.23382897440824527,0.5397860153055399,-0.36573110636843625,9.444581106775267,-0.08081673448490359,-0.07260231474394341,-0.4411195977155063,-0.9531675997712908,0.9076444007161063,1,1,0.9999996925849761,val
18053,-0.23382897440824527,0.5397860153055399,-0.27234713107298436,-0.32470593981843154,-0.07207769238157477,-0.13416555608409553,-0.4411195977155063,0.08033576420595212,0.1341155411432019,1,1,0.6064715652449483,val
25532,-0.23382897440824527,-0.041758792844886934,-0.475461005060287,-0.27716193680238344,-0.08079162867382914,-0.26550047094308676,-0.4411195977155063,-0.9531675997712908,0.578587679500966,1,1,0.6133457209933278,val
21820,-0.23382897440824527,0.5397860153055399,0.6140397961583315,2.9775322743781176,-0.08033960749532786,-0.17315560893285856,-0.4411195977155063,0.11861366657547963,0.49264002843731,1,1,0.8814708527821107,val
21606,-0.23382897440824527,0.5397860153055399,-0.4599278636497757,-0.16798792790441255,-0.0806951574311938,2.4330216078002485,-0.746066343010857,2.070786687421383,1.2416124162777413,1,0,0.5679735298828239,val
6193,-0.23382897440824527,-0.041758792844886934,-0.38136358452189756,-0.3159085960027188,-0.07721675526750565,-0.8606118038978907,-0.4411195977155063,-0.9531675997712908,0.8806322818103859,0,1,0.6116881605053033,val
25553,-0.23382897440824527,-0.041758792844886934,-0.38756329934173006,-0.32490777205435517,-0.07658529341532111,-0.23266674222833894,-0.4411195977155063,0.11861366657547963,0.578587679500966,1,1,0.6110422100739427,val
4836,-0.23382897440824527,-0.041758792844886934,0.2767087247425404,-0.2825705059830271,-0.06466441503652184,0.9944938684853603,-0.9832471449072407,2.109064589790911,-1.1993008739300905,1,0,0.5888976716143023,val
25054,0.17619006105746052,-0.041758792844886934,-0.2994894813140065,-0.3334774671770544,-0.058617221210756985,-1.390055679423199,-0.4411195977155063,-0.9531675997712908,-0.08689270444905652,1,1,0.6101755255175847,val
26049,-0.23382897440824527,-0.041758792844886934,-0.26620161320225527,-0.3319783706685202,-0.06835121886785127,0.1346605977679021,0.6092525249684791,-0.9531675997712908,-0.09671529314204577,1,1,0.6091494401665193,val
18930,-0.23382897440824527,-0.041758792844886934,0.4137751654143343,-0.1936964719482602,-0.07192933841026773,2.2237065872437314,2.5066989401395494,0.88417171396603,-1.4546881799478113,1,0,0.566731210267486,val
2279,-0.23382897440824527,1.1213308234559667,-0.4084698241335971,-0.32889488919765164,-0.07776882488253314,0.9247221949665211,-0.4411195977155063,1.994230882682328,1.9291936247869896,1,0,0.58449685191074,val
6729,0.17619006105746052,-0.041758792844886934,-0.03780572048180194,-0.06784874784207927,-0.07583056635224067,-0.17931193306687376,-0.4411195977155063,0.08033576420595212,0.08254695050500827,1,1,0.6128577978214791,val
10135,-0.23382897440824527,-0.041758792844886934,-0.3258642136933939,-0.2814578851991257,-0.07762776198515789,-1.2320433599834753,0.6092525249684791,-0.9531675997712908,0.10955906941072874,0,1,0.6054868469846664,val
17677,-0.23382897440824527,0.5397860153055399,-0.25541872159954143,-0.1998692791869926,-0.07873867744391108,-0.7539021855749604,-0.4411195977155063,-0.9531675997712908,0.546664266248751,0,1,0.6069360147225774,val
425,-0.23382897440824527,-0.041758792844886934,-0.05301377299773784,-0.24879019575689681,-0.07449391034310687,1.1812357005504883,1.4563268174555641,1.4966181518784705,-0.6050342580042402,0,0,0.5870321614149001,val
16423,-0.23382897440824527,-0.041758792844886934,-0.3766268841666893,0.12000776839940604,-0.08048439902557247,-0.9016539647913254,-0.4411195977155063,-0.9531675997712908,0.12920424679670728,1,1,0.612505561120168,val
30538,-0.23382897440824527,-0.041758792844886934,-0.25851631219071186,-0.35107768096872155,-0.0406129358320062,-0.5671603535098322,-0.4411195977155063,0.08033576420595212,-0.005856347731895097,1,1,0.6090951206892885,val
2519,-0.23382897440824527,-0.041758792844886934,-0.2690960031294339,-0.16404660874082688,-0.07906618811021437,0.12645216558921515,-0.4411195977155063,-0.9531675997712908,0.7136482740295684,1,1,0.6110782379284341,val
27132,-0.23382897440824527,0.5397860153055399,-0.18107186219337518,-0.33829370903621425,-0.0603125889368745,-0.8093091027810972,-0.4411195977155063,0.08033576420595212,-1.9679184391565003,0,1,0.601733592631538,val
19131,-0.23382897440824527,-0.041758792844886934,-0.047690042377640636,-0.3475324168127752,-0.024110278069680594,-0.25523993071972806,-0.4411195977155063,-0.6469443808150707,0.09482518637124485,1,1,0.6105635695904936,val
5709,-0.23382897440824527,-0.041758792844886934,-0.4296337258684797,-0.3141781389850482,-0.07909943304105582,2.1354659413228467,1.185263043859697,2.223898296899493,-0.7155383808003694,1,0,0.5697498472405862,val
10389,-0.23382897440824527,-0.041758792844886934,-0.2746996755296066,-0.08168759476574955,-0.07962252851963249,-0.6574531074753887,-0.4411195977155063,0.08033576420595212,-0.07215882140957262,1,1,0.6078007336684842,val
32312,-0.23382897440824527,-1.7863932172961674,-0.4236688197095894,-0.3489307832379618,-0.06940434347546169,1.4623745026705164,-0.4411195977155063,-0.9531675997712908,0.5073739114767939,1,0,0.5632013006982045,val
1374,0.5862090965231663,-0.041758792844886934,4.1696646926035505,-0.15664302875667213,0.033083513795220565,1.638855794512286,1.4563268174555641,2.0325087850518555,0.9076444007161063,1,1,0.7968694809863636,val
5179,-0.23382897440824527,-0.041758792844886934,-0.13067947552871434,-0.27715698090510943,-0.0738827572092568,0.13260848972323036,-0.4411195977155063,-0.9531675997712908,0.4017810830271593,1,1,0.6102305784359945,val
6374,-0.23382897440824527,-0.041758792844886934,-0.11760272871581398,-0.15730755590928003,-0.07788302016964198,-1.1417506060179188,-0.4411195977155063,0.11861366657547963,-0.08198141010256188,0,1,0.6038275907223848,val
11090,-0.23382897440824527,-0.041758792844886934,-0.4565367630936808,-0.3041527176966462,-0.08020913055195877,2.1190490769654726,1.185263043859697,2.223898296899493,-1.061784632228241,0,0,0.569731970110305,val
24870,-0.23382897440824527,-0.041758792844886934,-0.45996398805915145,-0.3211878374862382,-0.08008213713726682,2.4309694997555766,2.9471775722328335,2.070786687421383,-2.994378957573878,0,0,0.5504286039090557,val
